categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_mayuscula,Golgi,Golgi,JIqDbAr,ID_Y_HEADER_EXISTEN,JIqDbAr,Golgi
mayusculas,GPS,GPS,JNqHTYE,ID_Y_HEADER_EXISTEN,JNqHTYE,GPS
empieza_con_mayuscula,Graaf,Graaf,JNs9FxZ,ID_Y_HEADER_EXISTEN,JNs9FxZ,Graaf
empieza_con_mayuscula,Guernesey,Guernesey,JoJSim0,ID_Y_HEADER_EXISTEN,JoJSim0,Guernesey
empieza_con_mayuscula,Génova,Génova,J5ontBr,ID_Y_HEADER_EXISTEN,J5ontBr,Génova
empieza_con_mayuscula,Hinojosa,Hinojosa,KQBLePz,ID_Y_HEADER_EXISTEN,KQBLePz,Hinojosa
empieza_con_mayuscula,Ignacio,Ignacio,KvazWio,ID_Y_HEADER_EXISTEN,KvazWio,Ignacio
contiene_espacios,in fraganti,in fraganti,LYnESFR,ID_Y_HEADER_EXISTEN,LYnESFR,in fraganti
empieza_con_mayuscula,India,India,LNY9KCm,ID_Y_HEADER_EXISTEN,LNY9KCm,India
empieza_con_mayuscula,Inglaterra,Inglaterra,LaRSGMX,ID_Y_HEADER_EXISTEN,LaRSGMX,Inglaterra
mayusculas,IPC,IPC,M5Twh46,ID_Y_HEADER_EXISTEN,M5Twh46,IPC
mayusculas,IRPF,IRPF,M6noDQ8,ID_Y_HEADER_EXISTEN,M6noDQ8,IRPF
mayusculas,ISBN,ISBN,MAOZu6u,ID_Y_HEADER_EXISTEN,MAOZu6u,ISBN
empieza_con_mayuscula,Islandia,Islandia,MB0uZx8,ID_Y_HEADER_EXISTEN,MB0uZx8,Islandia
mayusculas,ISO,ISO,MBMXM4p,ID_Y_HEADER_EXISTEN,MBMXM4p,ISO
mayusculas,ISSN,ISSN,MCxcAvU,ID_Y_HEADER_EXISTEN,MCxcAvU,ISSN
empieza_con_mayuscula,Italia,Italia,MDD58KS,ID_Y_HEADER_EXISTEN,MDD58KS,Italia
mayusculas,IVA,IVA,MEqD4f5,ID_Y_HEADER_EXISTEN,MEqD4f5,IVA
empieza_con_mayuscula,Jericó,Jericó,MQILtyL,ID_Y_HEADER_EXISTEN,MQILtyL,Jericó
empieza_con_mayuscula,Jerusalén,Jerusalén,MQzbPWB,ID_Y_HEADER_EXISTEN,MQzbPWB,Jerusalén
empieza_con_mayuscula,Jesucristo,Jesucristo,MR6KyOj,ID_Y_HEADER_EXISTEN,MR6KyOj,Jesucristo
