categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
mayusculas,AVE,AVE,4XBPG4o,ID_EXISTE_HEADER_NO,,AVE<sup>3</sup>
empieza_con_mayuscula,Babia,Babia,4ia1kp9,ID_Y_HEADER_EXISTEN,4ia1kp9,Babia
empieza_con_mayuscula,Bamba,Bamba,4vYKRIn,ID_EXISTE_HEADER_NO,,Bamba<sup>4</sup>
empieza_con_mayuscula,Barcelona,Barcelona,53yEDrc,ID_Y_HEADER_EXISTEN,53yEDrc,Barcelona
empieza_con_mayuscula,Batavia,Batavia,5CzZmDX,ID_Y_HEADER_EXISTEN,5CzZmDX,Batavia
empieza_con_mayuscula,Batuecas,Batuecas,5EI9lxw,ID_Y_HEADER_EXISTEN,5EI9lxw,Batuecas
empieza_con_mayuscula,Bayona,Bayona,5F9RbqA,ID_Y_HEADER_EXISTEN,5F9RbqA,Bayona
empieza_con_mayuscula,Bañón,Bañón,4z6AVGx,ID_Y_HEADER_EXISTEN,4z6AVGx,Bañón
minuscula,bestializarse,bestializarse,5Pa1lZo,ID_EXISTE_HEADER_NO,,bestializar
empieza_con_mayuscula,Bierzo,Bierzo,5UdhAFU,ID_Y_HEADER_EXISTEN,5UdhAFU,Bierzo
empieza_con_mayuscula,Blas,Blas,5fuf54b,ID_Y_HEADER_EXISTEN,5fuf54b,Blas
empieza_con_mayuscula,Bohemia,Bohemia,5lX1qkS,ID_EXISTE_HEADER_NO,,Bohemia<sup>2</sup>
empieza_con_mayuscula,Bona,Bona,5qKuB8y,ID_Y_HEADER_EXISTEN,5qKuB8y,Bona
minuscula,bonoloto,bonoloto,5rfgvxt,NINGUNO,,
minuscula,boîte,boîte,5ltAZe0,NINGUNO,,
empieza_con_mayuscula,Brasil,Brasil,63Zi6EZ,ID_EXISTE_HEADER_NO,,Brasil<sup>2</sup>
empieza_con_mayuscula,Bright,Bright,66OJF1B,ID_Y_HEADER_EXISTEN,66OJF1B,Bright
empieza_con_mayuscula,Briján,Briján,66UVreU,ID_Y_HEADER_EXISTEN,66UVreU,Briján
empieza_con_mayuscula,Bruselas,Bruselas,6BzwRGZ,ID_EXISTE_HEADER_NO,,Bruselas<sup>2</sup>
contiene_espacios,Buenos Aires,Buenos Aires,6EbEq6s,ID_Y_HEADER_EXISTEN,6EbEq6s,Buenos Aires
empieza_con_mayuscula,Burgos,Burgos,6J0fcUY,ID_Y_HEADER_EXISTEN,6J0fcUY,Burgos
empieza_con_mayuscula,Bárbara,Bárbara,51uTeC1,ID_Y_HEADER_EXISTEN,51uTeC1,Bárbara
empieza_con_mayuscula,Cabo,Cabo,6S603J4,ID_EXISTE_HEADER_NO,,Cabo<sup>2</sup>
empieza_con_mayuscula,Cachano,Cachano,6VQCWZe,ID_Y_HEADER_EXISTEN,6VQCWZe,Cachano
empieza_con_mayuscula,Calabar,Calabar,6fEftgH,ID_Y_HEADER_EXISTEN,6fEftgH,Calabar
empieza_con_mayuscula,Calatrava,Calatrava,6iIIWoi,ID_Y_HEADER_EXISTEN,6iIIWoi,Calatrava
empieza_con_mayuscula,Calaínos,Calaínos,6gnpx5q,ID_Y_HEADER_EXISTEN,6gnpx5q,Calaínos
empieza_con_mayuscula,Calañas,Calañas,6i2skWZ,ID_Y_HEADER_EXISTEN,6i2skWZ,Calañas
empieza_con_mayuscula,Calleja,Calleja,6pn3vAV,ID_EXISTE_HEADER_NO,,Calleja<sup>2</sup>
empieza_con_mayuscula,Canadá,Canadá,71yMb7K,ID_Y_HEADER_EXISTEN,71yMb7K,Canadá
empieza_con_mayuscula,Cancelaría,Cancelaría,73pGFXR,ID_Y_HEADER_EXISTEN,73pGFXR,Cancelaría
