old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
aTTOvKb,"traspacífico, ca",NOT_FOUND,,,,,
aROS18X,"trasgresivo, va",NOT_FOUND,,,,,
bDvxJQj,"-uzco, ca",NOT_FOUND,,,,,
aU7HsqU,"traspirenaico, ca",NOT_FOUND,,,,,
aWioXns,"trasverso, sa",NOT_FOUND,,,,,
bBCLrg8,"-usco, ca",NOT_FOUND,,,,,
aSrxM0f,"trasmundano, na",NOT_FOUND,,,,,
aTUTebx,"traspadano, na",NOT_FOUND,,,,,
akrudvg,"‒́trofo, fa",NOT_FOUND,,,,,
bMBc7pU,"vaquiano, na",NOT_FOUND,,,,,
c8eFTTm,"yacuto, ta",NOT_FOUND,,,,,
bLu2MRq,"vaqueano, na",NOT_FOUND,,,,,
cHwLmUo,"zaíno, na",NOT_FOUND,,,,,
cHyYKYZ,"zaíno, na",NOT_FOUND,,,,,
bhHEsdH,"vestfaliano, na",NOT_FOUND,,,,,
bRRtTBM,"veimarés, sa",NOT_FOUND,,,,,
cRQFqUd,"zingiberáceo, a",NOT_FOUND,,,,,
c3oGhJ2,"‒́voro, ra",NOT_FOUND,,,,,
cR76Qdq,"zigomorfo, fa",NOT_FOUND,,,,,
cR18vo9,"zigomático, ca",NOT_FOUND,,,,,
cWPN9rE,"-zuelo, la",NOT_FOUND,,,,,
cROvFzS,"zíngaro, ra",NOT_FOUND,,,,,
c7N4GIf,"xerofito, ta",NOT_FOUND,,,,,
cR17pQm,"zigofiláceo, a",NOT_FOUND,,,,,
